zip_code,state,county,lat,lon,city
08008,NJ,Gloucester,39.6411,-74.1922,Beach Haven
08009,NJ,Gloucester,39.7788,-74.9308,Berlin
08010,NJ,Gloucester,40.0565,-74.9114,Beverly
08011,NJ,Gloucester,39.976,-74.7114,Birmingham
08012,NJ,Gloucester,39.7901,-75.0367,Blackwood
08014,NJ,Gloucester,39.8016,-75.3478,Bridgeport
08015,NJ,Gloucester,39.9597,-74.5655,Browns Mills
08016,NJ,Gloucester,40.068,-74.8454,Burlington
08018,NJ,Gloucester,39.7154,-74.9007,Cedar Brook
08019,NJ,Gloucester,39.8019,-74.5256,Chatsworth
08020,NJ,Gloucester,39.7992,-75.2237,Clarksboro
08021,NJ,Gloucester,39.8036,-75.0058,Clementon
08022,NJ,Gloucester,40.0642,-74.6899,Columbus
08023,NJ,Gloucester,39.6815,-75.4934,Deepwater
08025,NJ,Gloucester,39.7015,-75.1629,Ewan
08026,NJ,Gloucester,39.8365,-74.971,Gibbsboro
08027,NJ,Gloucester,39.8231,-75.2751,Gibbstown
08028,NJ,Gloucester,39.7068,-75.1172,Glassboro
08029,NJ,Gloucester,39.8404,-75.0697,Glendora
08030,NJ,Gloucester,39.8911,-75.117,Gloucester City
08031,NJ,Gloucester,39.8689,-75.0944,Bellmawr
08032,NJ,Gloucester,39.7788,-75.0601,Grenloch
08033,NJ,Gloucester,39.8954,-75.0417,Haddonfield
08034,NJ,Gloucester,39.9074,-75.0008,Cherry Hill
08035,NJ,Gloucester,39.8788,-75.0664,Haddon Heights
08036,NJ,Gloucester,39.9872,-74.8293,Hainesport
08037,NJ,Gloucester,39.638,-74.7728,Hammonton
08038,NJ,Gloucester,39.4716,-75.4902,Hancocks Bridge
08039,NJ,Gloucester,39.6931,-75.2711,Harrisonville
08041,NJ,Gloucester,40.0387,-74.6873,Jobstown
08042,NJ,Gloucester,40.0123,-74.6646,Juliustown
08043,NJ,Gloucester,39.8504,-74.9646,Voorhees
08045,NJ,Gloucester,39.8676,-75.0317,Lawnside
08046,NJ,Gloucester,40.029,-74.8835,Willingboro
08048,NJ,Gloucester,39.9651,-74.8067,Lumberton
08049,NJ,Gloucester,39.8538,-75.0393,Magnolia
08050,NJ,Gloucester,39.705,-74.2604,Manahawkin
08051,NJ,Gloucester,39.787,-75.1785,Mantua
08052,NJ,Gloucester,39.9511,-74.9946,Maple Shade
08053,NJ,Gloucester,39.8845,-74.9067,Marlton
08054,NJ,Gloucester,39.9478,-74.9036,Mount Laurel
08055,NJ,Gloucester,39.8637,-74.8223,Medford
08056,NJ,Gloucester,39.7857,-75.2498,Mickleton
08057,NJ,Gloucester,39.9683,-74.9533,Moorestown
08059,NJ,Gloucester,39.8827,-75.0929,Mount Ephraim
08060,NJ,Gloucester,40.0086,-74.7896,Mount Holly
08061,NJ,Gloucester,39.8097,-75.2082,Mount Royal
08062,NJ,Gloucester,39.7252,-75.2065,Mullica Hill
08063,NJ,Gloucester,39.8664,-75.1794,National Park
08064,NJ,Gloucester,39.9582,-74.6279,New Lisbon
08065,NJ,Gloucester,40.0037,-75.0257,Palmyra
08066,NJ,Gloucester,39.8312,-75.2242,Paulsboro
08067,NJ,Gloucester,39.7435,-75.412,Pedricktown
08068,NJ,Gloucester,39.9712,-74.6676,Pemberton
08069,NJ,Gloucester,39.6994,-75.4495,Penns Grove
08070,NJ,Gloucester,39.6491,-75.5155,Pennsville
08071,NJ,Gloucester,39.7312,-75.1297,Pitman
08072,NJ,Gloucester,39.5459,-75.4124,Quinton
08073,NJ,Gloucester,40.0095,-74.8668,Rancocas
08074,NJ,Gloucester,39.7206,-75.1681,Richwood
08075,NJ,Gloucester,40.0293,-74.9497,Riverside
08076,NJ,Gloucester,40.0115,-75.0149,Riverton
08077,NJ,Gloucester,40.002,-74.9952,Riverton
08078,NJ,Gloucester,39.8508,-75.0742,Runnemede
08079,NJ,Gloucester,39.5591,-75.4521,Salem
08080,NJ,Gloucester,39.7473,-75.0899,Sewell
08081,NJ,Gloucester,39.7354,-74.9864,Sicklerville
08083,NJ,Gloucester,39.84,-75.0309,Somerdale
08084,NJ,Gloucester,39.8288,-75.0147,Stratford
08085,NJ,Gloucester,39.7529,-75.3362,Swedesboro
08086,NJ,Gloucester,39.8457,-75.1943,Thorofare
08087,NJ,Gloucester,39.5881,-74.3646,Tuckerton
08088,NJ,Gloucester,39.8604,-74.6693,Vincentown
08089,NJ,Gloucester,39.7215,-74.8609,Waterford Works
08090,NJ,Gloucester,39.7993,-75.1536,Wenonah
08091,NJ,Gloucester,39.8051,-74.9255,West Berlin
08092,NJ,Gloucester,39.6627,-74.2885,West Creek
08093,NJ,Gloucester,39.8605,-75.1323,Westville
08094,NJ,Gloucester,39.665,-74.971,Williamstown
08095,NJ,Gloucester,39.6549,-74.8685,Winslow
08096,NJ,Gloucester,39.7539,-74.996,Deptford
08097,NJ,Gloucester,39.8142,-75.153,Woodbury Heights
08098,NJ,Gloucester,39.6457,-75.3248,Woodstown
08099,NJ,Gloucester,39.8676,-75.0946,Bellmawr
08101,NJ,Gloucester,39.9259,-75.1196,Camden
08102,NJ,Gloucester,39.9512,-75.1186,Camden
08103,NJ,Gloucester,39.9351,-75.1117,Camden
08104,NJ,Gloucester,39.9186,-75.1078,Camden
08105,NJ,Gloucester,39.9484,-75.0864,Camden
08106,NJ,Gloucester,39.891,-75.0724,Audubon
08107,NJ,Gloucester,39.908,-75.0849,Oaklyn
08108,NJ,Gloucester,39.9157,-75.0634,Collingswood
08109,NJ,Gloucester,39.9519,-75.0482,Merchantville
08110,NJ,Gloucester,39.9723,-75.0607,Pennsauken
08302,NJ,Gloucester,39.3762,-75.1617,Bridgeton
08310,NJ,Gloucester,39.537,-74.8895,Buena
08311,NJ,Gloucester,39.337,-75.1994,Cedarville
08312,NJ,Gloucester,39.659,-75.0942,Clayton
08313,NJ,Gloucester,39.5293,-75.2249,Deerfield Street
08314,NJ,Gloucester,39.2023,-74.9705,Delmont
08315,NJ,Gloucester,39.2732,-75.095,Dividing Creek
08316,NJ,Gloucester,39.2679,-74.9791,Dorchester
08317,NJ,Gloucester,39.4031,-74.8316,Dorothy
08318,NJ,Gloucester,39.5691,-75.163,Elmer
08319,NJ,Gloucester,39.3783,-74.8165,Estell Manor
08320,NJ,Gloucester,39.3799,-75.2217,Fairton
08321,NJ,Gloucester,39.2189,-75.1403,Fortescue
08322,NJ,Gloucester,39.6156,-75.0409,Franklinville
08323,NJ,Gloucester,39.4055,-75.3209,Greenwich
08324,NJ,Gloucester,39.224,-74.9942,Heislerville
08326,NJ,Gloucester,39.5239,-74.9377,Landisville
08327,NJ,Gloucester,39.2568,-74.9874,Leesburg
08328,NJ,Gloucester,39.5755,-75.0582,Malaga
08329,NJ,Gloucester,39.2853,-74.9983,Mauricetown
08330,NJ,Gloucester,39.432,-74.6962,Mays Landing
08332,NJ,Gloucester,39.3673,-75.0293,Millville
08340,NJ,Gloucester,39.4451,-74.8667,Milmay
08341,NJ,Gloucester,39.5155,-74.9467,Minotola
08342,NJ,Gloucester,39.5021,-74.8335,Mizpah
08343,NJ,Gloucester,39.6442,-75.1568,Monroeville
08344,NJ,Gloucester,39.5553,-75.0276,Newfield
08345,NJ,Gloucester,39.2832,-75.1716,Newport
08346,NJ,Gloucester,39.5645,-74.859,Newtonville
08347,NJ,Gloucester,39.4998,-75.082,Norma
08348,NJ,Gloucester,39.3131,-74.9807,Port Elizabeth
08349,NJ,Gloucester,39.2563,-75.0506,Port Norris
08350,NJ,Gloucester,39.485,-74.8776,Richland
08352,NJ,Gloucester,39.4782,-75.1313,Rosenhayn
08353,NJ,Gloucester,39.4594,-75.297,Shiloh
08360,NJ,Gloucester,39.4818,-75.0091,Vineland
08361,NJ,Gloucester,39.4655,-74.9653,Vineland
08362,NJ,Gloucester,39.4862,-75.0257,Vineland
08801,NJ,Hunterdon,40.6287,-74.8855,Annandale
08802,NJ,Hunterdon,40.695,-75.0281,Asbury
08803,NJ,Hunterdon,40.5218,-75.006,Baptistown
08804,NJ,Hunterdon,40.6437,-75.0966,Bloomsbury
08805,NJ,Hunterdon,40.5681,-74.5397,Bound Brook
08807,NJ,Hunterdon,40.5904,-74.6267,Bridgewater
08808,NJ,Hunterdon,40.732,-75.0516,Broadway
08809,NJ,Hunterdon,40.6412,-74.9088,Clinton
08810,NJ,Hunterdon,40.3825,-74.5111,Dayton
08812,NJ,Hunterdon,40.5897,-74.4639,Dunellen
08816,NJ,Hunterdon,40.4284,-74.4064,East Brunswick
08817,NJ,Hunterdon,40.5171,-74.3973,Edison
08818,NJ,Hunterdon,40.43,-74.4173,Edison
08820,NJ,Hunterdon,40.578,-74.3589,Edison
08821,NJ,Hunterdon,40.517,-74.6843,Flagtown
08822,NJ,Hunterdon,40.518,-74.8453,Flemington
08823,NJ,Hunterdon,40.4421,-74.5369,Franklin Park
08824,NJ,Hunterdon,40.4208,-74.5529,Kendall Park
08825,NJ,Hunterdon,40.5208,-75.0325,Frenchtown
08826,NJ,Hunterdon,40.7134,-74.9162,Glen Gardner
08827,NJ,Hunterdon,40.6774,-74.9622,Hampton
08828,NJ,Hunterdon,40.3777,-74.4204,Helmetta
08829,NJ,Hunterdon,40.6684,-74.8937,High Bridge
08830,NJ,Hunterdon,40.5716,-74.3167,Iselin
08831,NJ,Hunterdon,40.3192,-74.4285,Monroe Township
08832,NJ,Hunterdon,40.5192,-74.3021,Keasbey
08833,NJ,Hunterdon,40.6466,-74.829,Lebanon
08834,NJ,Hunterdon,40.5637,-74.9494,Little York
08835,NJ,Hunterdon,40.5399,-74.5934,Manville
08836,NJ,Hunterdon,40.6,-74.5572,Martinsville
08837,NJ,Hunterdon,40.5325,-74.3375,Edison
08840,NJ,Hunterdon,40.5449,-74.3517,Metuchen
08844,NJ,Hunterdon,40.4775,-74.6272,Hillsborough
08846,NJ,Hunterdon,40.5759,-74.5008,Middlesex
08848,NJ,Hunterdon,40.5929,-75.1025,Milford
08850,NJ,Hunterdon,40.4493,-74.439,Milltown
08852,NJ,Hunterdon,40.3869,-74.5558,Monmouth Junction
08853,NJ,Hunterdon,40.5293,-74.7401,Neshanic Station
08854,NJ,Hunterdon,40.5515,-74.459,Piscataway
08855,NJ,Hunterdon,40.43,-74.4173,Piscataway
08857,NJ,Hunterdon,40.398,-74.3236,Old Bridge
08858,NJ,Hunterdon,40.6726,-74.7474,Oldwick
08859,NJ,Hunterdon,40.4587,-74.305,Parlin
08861,NJ,Hunterdon,40.5176,-74.2754,Perth Amboy
08862,NJ,Hunterdon,40.43,-74.4173,Perth Amboy
08863,NJ,Hunterdon,40.5393,-74.3117,Fords
08865,NJ,Hunterdon,40.7079,-75.1507,Phillipsburg
08867,NJ,Hunterdon,40.5992,-74.9576,Pittstown
08868,NJ,Hunterdon,40.5655,-74.9389,Quakertown
08869,NJ,Hunterdon,40.5711,-74.6377,Raritan
08870,NJ,Hunterdon,40.5687,-74.7377,Readington
08871,NJ,Hunterdon,40.43,-74.4173,Sayreville
08872,NJ,Hunterdon,40.46,-74.3478,Sayreville
08873,NJ,Hunterdon,40.5007,-74.5013,Somerset
08875,NJ,Hunterdon,40.4976,-74.4885,Somerset
08876,NJ,Hunterdon,40.588,-74.6874,Somerville
08879,NJ,Hunterdon,40.464,-74.2742,South Amboy
08880,NJ,Hunterdon,40.5523,-74.5311,South Bound Brook
08882,NJ,Hunterdon,40.4444,-74.3801,South River
08884,NJ,Hunterdon,40.3847,-74.3894,Spotswood
08885,NJ,Hunterdon,40.5764,-74.8311,Stanton
08886,NJ,Hunterdon,40.6937,-75.111,Stewartsville
08887,NJ,Hunterdon,40.5206,-74.7946,Three Bridges
08888,NJ,Hunterdon,40.6194,-74.7406,Whitehouse
08889,NJ,Hunterdon,40.6156,-74.7724,Whitehouse Station
08890,NJ,Hunterdon,40.5361,-74.5789,Zarephath
08899,NJ,Hunterdon,40.5203,-74.4205,Edison
08501,NJ,Mercer,40.1589,-74.5909,Allentown
08502,NJ,Mercer,40.4483,-74.6557,Belle Mead
08504,NJ,Mercer,40.4076,-74.7027,Blawenburg
08505,NJ,Mercer,40.1431,-74.7032,Bordentown
08510,NJ,Mercer,40.147,-74.609,Millstone Township
08511,NJ,Mercer,40.0481,-74.5595,Cookstown
08512,NJ,Mercer,40.3039,-74.5065,Cranbury
08514,NJ,Mercer,40.1399,-74.465,Cream Ridge
08515,NJ,Mercer,40.1151,-74.6393,Chesterfield
08518,NJ,Mercer,40.118,-74.8055,Florence
08520,NJ,Mercer,40.2669,-74.525,Hightstown
08525,NJ,Mercer,40.3902,-74.771,Hopewell
08526,NJ,Mercer,40.1623,-74.4759,Imlaystown
08527,NJ,Mercer,40.121,-74.3017,Jackson
08528,NJ,Mercer,40.3828,-74.6096,Kingston
08530,NJ,Mercer,40.3731,-74.9266,Lambertville
08533,NJ,Mercer,40.0713,-74.5067,New Egypt
08534,NJ,Mercer,40.3339,-74.7944,Pennington
08535,NJ,Mercer,40.2739,-74.7162,Millstone Township
08536,NJ,Mercer,40.3324,-74.5688,Plainsboro
08540,NJ,Mercer,40.3666,-74.6408,Princeton
08541,NJ,Mercer,40.3487,-74.659,Princeton
08542,NJ,Mercer,40.3535,-74.6594,Princeton
08543,NJ,Mercer,40.2805,-74.712,Princeton
08544,NJ,Mercer,40.3492,-74.6528,Princeton
08550,NJ,Mercer,40.2669,-74.6511,Princeton Junction
08551,NJ,Mercer,40.4459,-74.8288,Ringoes
08553,NJ,Mercer,40.401,-74.64,Rocky Hill
08554,NJ,Mercer,40.1154,-74.7772,Roebling
08555,NJ,Mercer,40.2214,-74.4747,Roosevelt
08556,NJ,Mercer,40.42,-74.9886,Rosemont
08557,NJ,Mercer,40.4459,-74.9435,Sergeantsville
08558,NJ,Mercer,40.4173,-74.6938,Skillman
08559,NJ,Mercer,40.4397,-74.9554,Stockton
08560,NJ,Mercer,40.3077,-74.8655,Titusville
08561,NJ,Mercer,40.2423,-74.5787,Windsor
08562,NJ,Mercer,40.072,-74.5731,Wrightstown
08601,NJ,Mercer,40.2805,-74.712,Trenton
08602,NJ,Mercer,40.2805,-74.712,Trenton
08603,NJ,Mercer,40.2805,-74.712,Trenton
08604,NJ,Mercer,40.2805,-74.712,Trenton
08605,NJ,Mercer,40.2805,-74.712,Trenton
08606,NJ,Mercer,40.2805,-74.712,Trenton
08607,NJ,Mercer,40.2805,-74.712,Trenton
08608,NJ,Mercer,40.2204,-74.7622,Trenton
08609,NJ,Mercer,40.2248,-74.741,Trenton
08610,NJ,Mercer,40.2016,-74.705,Trenton
08611,NJ,Mercer,40.2171,-74.7429,Trenton
08618,NJ,Mercer,40.2377,-74.7821,Trenton
08619,NJ,Mercer,40.2418,-74.6962,Trenton
08620,NJ,Mercer,40.167,-74.6488,Trenton
08625,NJ,Mercer,40.2805,-74.712,Trenton
08628,NJ,Mercer,40.2655,-74.8168,Trenton
08629,NJ,Mercer,40.2196,-74.7334,Trenton
08638,NJ,Mercer,40.251,-74.7627,Trenton
08640,NJ,Mercer,40.2171,-74.7429,Joint Base Mdl
08641,NJ,Mercer,40.2171,-74.7429,Joint Base Mdl
08644,NJ,Mercer,40.2171,-74.7429,Trenton
08645,NJ,Mercer,40.2805,-74.712,Trenton
08646,NJ,Mercer,40.2805,-74.712,Trenton
08647,NJ,Mercer,40.2805,-74.712,Trenton
08648,NJ,Mercer,40.2171,-74.7429,Lawrence Township
08650,NJ,Mercer,40.2805,-74.712,Trenton
08666,NJ,Mercer,40.2805,-74.712,Trenton
08690,NJ,Mercer,40.2336,-74.6576,Trenton
08691,NJ,Mercer,40.2197,-74.5939,Trenton
08695,NJ,Mercer,40.2805,-74.712,Trenton
08801,NJ,Middlesex,40.6287,-74.8855,Annandale
08802,NJ,Middlesex,40.695,-75.0281,Asbury
08803,NJ,Middlesex,40.5218,-75.006,Baptistown
08804,NJ,Middlesex,40.6437,-75.0966,Bloomsbury
08805,NJ,Middlesex,40.5681,-74.5397,Bound Brook
08807,NJ,Middlesex,40.5904,-74.6267,Bridgewater
08808,NJ,Middlesex,40.732,-75.0516,Broadway
08809,NJ,Middlesex,40.6412,-74.9088,Clinton
08810,NJ,Middlesex,40.3825,-74.5111,Dayton
08812,NJ,Middlesex,40.5897,-74.4639,Dunellen
08816,NJ,Middlesex,40.4284,-74.4064,East Brunswick
08817,NJ,Middlesex,40.5171,-74.3973,Edison
08818,NJ,Middlesex,40.43,-74.4173,Edison
08820,NJ,Middlesex,40.578,-74.3589,Edison
08821,NJ,Middlesex,40.517,-74.6843,Flagtown
08822,NJ,Middlesex,40.518,-74.8453,Flemington
08823,NJ,Middlesex,40.4421,-74.5369,Franklin Park
08824,NJ,Middlesex,40.4208,-74.5529,Kendall Park
08825,NJ,Middlesex,40.5208,-75.0325,Frenchtown
08826,NJ,Middlesex,40.7134,-74.9162,Glen Gardner
08827,NJ,Middlesex,40.6774,-74.9622,Hampton
08828,NJ,Middlesex,40.3777,-74.4204,Helmetta
